	seq_id	image_id	image_path	image_cat	image_subcat	d1	d2	d3	d4	d5
52	52	19920	training/w/wet_bar/ADE_train_00019920.jpg	wet_bar		there is a long skiiny window in this room	it is very dark even though the window is big	above the window it looks like there might be an air conditioning unit	there is a table in front of the window with lots of doo-dads and candles	there is a box of tissues sitting on a table
53	53	9580	training/h/hotel_room/ADE_train_00009580.jpg	hotel_room		small bed on the left	square tv	door on to a balcony	light above the bed	checkered carpet.
54	54	10742	training/k/kitchen/ADE_train_00010742.jpg	kitchen		There's a large silver cooking wok on the stove top.	The kitchen cupboards are all a darker cherry wood with black knobs.	There's a curved light wood counter island.	On top of that curved island is a bottle of wine, two glasses and a napkin together.	There's also a vertical single line back splash that looks like gray tiles.
55	55	144	training/b/bathroom/ADE_train_00000144.jpg	bathroom		This is a bathroom	The shower has a glass door	The toilet seat is closed	There is a brown cabinet above the toilet	There is a pedestal sink in the left corner of the photo
56	56	525	training/b/bedroom/ADE_train_00000525.jpg	bedroom		It appears to be a bedroom and there are two twin sized beds side by side with matching blue comforters and decorative pillows.	Between the twin beds is a white table with a blue basket on top, filled with rolled towels with a palm tree print on some of them and a few small bottles.	The rug underneath the table has a matching green and brown palm tree print on it.	Over each bed is framed artwork with a similar palm tree print.	The window has white blinds, is between the beds, has a hanging plant over it and two lit adjustable white lamps with white lampshades.
57	57	20049	training/w/wine_cellar/barrel_storage/ADE_train_00020049.jpg	wine_cellar	barrel_storage	There is an iron gate to let you into the room.	There is a large table against the wall from where you walk into the room.	There are candelabras against the wall.	There are two light fixtures hanging from the ceiling that look like they are candles.	There is  one door that is totally open and the other one is not open all the way.
58	58	7126	training/d/dining_room/ADE_train_00007126.jpg	dining_room		There is a long wooden banquet table showing.	There are ten high back chairs with yellow upholstery showing.	There are two large floor to ceiling windows shown in the image.	The windows are flanked by gold colored drapes.	There is a large golden colored chandalier hung over the banquet table.
59	59	15165	training/p/parlor/ADE_train_00015165.jpg	parlor		The picture looks like a museum with a tile floor.	There is a small table in the middle of the floor	There is a french door trimmed in white and also a big window.	There is ornate wall paper on the walls.	There is a little stand, probably detailing the artwork on the walls.
60	60	8456	training/g/garage/indoor/ADE_train_00008456.jpg	garage	indoor	car garage	bike on the wall	nice car	trike on the wall	hole board walls for hanging
61	61	3376	training/b/bedroom/ADE_train_00003376.jpg	bedroom		There is a bedroom with a window.	There are fans in the window.	The bed has red checkered sheets and pillows.	There is a painting above the bed.	There are lamps on either side of the bed on top of dressers.
62	62	3454	training/b/bedroom/ADE_train_00003454.jpg	bedroom		This is a bedroom with a rustic feel.	There are four large windowed doors, two together and two together.	I can see trees outside the doors and there is a tall cabinet between the doors.	There is a rocker on the right side of the room with a furry blanket on it.	You can only see a corner of the bed on the left side of the photo.
63	63	6744	training/d/dinette/home/ADE_train_00006744.jpg	dinette	home	There are four chairs around the table.	There is a lamp hanging above the table.	The table is made of glass.	There is a white door to the right of the table.	There is a door to the left of the table with vertical slat blinds.
64	64	9663	training/h/hotel_room/ADE_train_00009663.jpg	hotel_room		This looks like a hotel room.	There are two beds with gold bedding.	The pillows are darker than the bedding, possibly red.	There is a lamp between the beds.	There are two picture frames; one above each bed.
65	65	6954	training/d/dining_room/ADE_train_00006954.jpg	dining_room		This looks like a dinning room.	There is a long rectangular wooden table with six chairs.	The chairs are covered and there is a candle chandelier above the table.	There is a large canvas hanging on the back wall.	The dinning room opens into what should be the kitchen and I can see windows and chairs in that room.
66	66	8469	training/g/garage/indoor/ADE_train_00008469.jpg	garage	indoor	This garage is spotless.	It has red cabinets with steel pulls.	There are 2 fluorescent lights in the ceiling and 3 drop down pendant lighting.	There is a cabinet in the middle of the room that has one drawer open.	There is a sink with a rug in front of it.
67	67	10500	training/k/kitchen/ADE_train_00010500.jpg	kitchen		There are three oranges on the wooden board on the counter.	There is a steel tea kettle on the stove.	The floors are made of hardwood.	There are two ovens stacked on top of each other.	There is a microwave to the left of the ovens.
68	68	11321	training/l/living_room/ADE_train_00011321.jpg	living_room		This is a living room with a green couch.	The green couch has two red pillows.	There are five sky lights and a chandelier in the far back.	There is a rectangular coffed table with decor on it.	There are two door ways. One opens into a hall and the other opens into the kitchen.
69	69	6936	training/d/dining_room/ADE_train_00006936.jpg	dining_room		A small dining room with a table that has six chairs under it.	Three paintings hang in a straight line on the wall behind the table.	A chandelier hangs over the table.	The chairs have white cushions on them that tie around the back of the chair.	There is a doorway on the far side of the table.
70	70	10200	training/k/kitchen/ADE_train_00010200.jpg	kitchen		This is a kitchen with a lot of white.	There is an island in this kitchen.	There is a window over the sink.	The countertops are grey.	The flooring is hardwood and the stove and oven are not next to each other.
71	71	9573	training/h/hotel_room/ADE_train_00009573.jpg	hotel_room		There is a double bed	The bedding is white	There is a flat screen monitor	There is a wooden desk	There are two lamps
72	72	7113	training/d/dining_room/ADE_train_00007113.jpg	dining_room		The wall on the left is pink.	There is a dining room table with high back chairs.	The table is glass.	There is a buffet with a lamp on top.	The floors are hard surface.
73	73	38	training/b/bathroom/ADE_train_00000038.jpg	bathroom		Its a bathroom with a double sink.	the walls have orange and yellow flower wallpaper	the wallpaper has a purple background.	the doorway is on the left wall.	there is a red towel hanging on the far wall.
74	74	10266	training/k/kitchen/ADE_train_00010266.jpg	kitchen		This is a picture of a pot holder.	The pot holder is hanging from the ceiling.	There are lots of pots hanging from the holder in a cluttered fashion.	There is a brown cabinet to the left side of the picture.	There is possibly a glass door or just windows to the right side of the picture.
75	75	16293	training/s/shower/ADE_train_00016293.jpg	shower		This is a shower room	There is a window here	The shower has a wide circular head	The window is divided into fours	There is a soap rack below the shower head
76	76	7004	training/d/dining_room/ADE_train_00007004.jpg	dining_room		This is a chaotic looking room	There is a large table	There are brown chairs	The ceiling is white	There is a gold chandelier
77	77	11448	training/l/living_room/ADE_train_00011448.jpg	living_room		This is s very formal looking living room with a sofa and four chairs.	The sofa and one chair are white and the other chairs have a print pattern on them.	There is a large pinkish color area rug on the floor and a fireplace across from the sofa.	The coffee table in front of the sofa has a plant on it and one book	At the end of the room are french doors with curio cabinets on either side.
78	78	10317	training/k/kitchen/ADE_train_00010317.jpg	kitchen		A small dated kitchen	There is very limited counter space.	There is a banquet table in the middle of the room.	The appliances are on the far wall.	There is a stool leaning against the wall.
79	79	3925	training/b/bedroom/ADE_train_00003925.jpg	bedroom		There is a small old bedroom.	The room tones are pink and yellow.	There is a lamp next to the bed.	The cabinets are yellow.	There is a small TV on the cabinet.
80	80	2844	training/b/bathroom/ADE_train_00002844.jpg	bathroom		A bathroom.	With teal walls.	With bright white fixtures.	With three paintings above the toilet.	There is a white framed mirror above the vanity.
81	81	9609	training/h/hotel_room/ADE_train_00009609.jpg	hotel_room		There is a double bed here	The bed is unmade	There are two lamps	There is a black item on the bed	The headboard is brown wood
82	82	15195	training/p/parlor/ADE_train_00015195.jpg	parlor		A small room with a couch.	There is hard wood flooring.	The walls have wallpaper.	There is a lamp and mirror in the middle of the room.	There are french doors leading to another room.
83	83	100488	validation/k/kitchen/ADE_val_00000488.jpg	kitchen		80's kitchen	brown cabinets	hanging black microwave	sink on the left	fridge on the right
84	84	10911	training/l/laundromat/ADE_train_00010911.jpg	laundromat		It's a picture of what look like washing machines. There are three of them in a row, plus one stacked on top.	A big blue bag is hanging from the top right washing machine.	There are four large silver pipes/tubes coming out of the wall and running behind the machines.	There's a pile of clothes stacked on top of the two left washing machines. They all have clear doors so you can see there's also clothing inside them.	The angle of the picture means you can't see the floor of the room.
85	85	232	training/b/bedroom/ADE_train_00000232.jpg	bedroom		There is a bed and green walls	The blinds are open on the 4 windows.	There is a small box table in front of the bed.	There is a nightstand on both sides of the bed with a lamp on each.	The comforter is yellow or cream.
86	86	11119	training/l/living_room/ADE_train_00011119.jpg	living_room		There is a large window in the room.	There is a TV in front of the window.	The TV is next to the couch.	There is a tall floor lamp.	There is a large pictures on the wall above the couch.
87	87	2677	training/b/bathroom/ADE_train_00002677.jpg	bathroom		It is a very fancy bathroom.	There are twin sinks across from each other.	There is a deep soaking tub in front of 3 domed windows.	There is a very fancy chandelier over the bathtub and everything is done in brown woods and granite.	There is a step up to the bathtub.
88	88	11356	training/l/living_room/ADE_train_00011356.jpg	living_room		There are three lamps with white shades shown.	There is a bar/counter setup on the right side of the image.	There are French doors located in the rear of the photo.	There is a glass and wrought iron coffee table in the middle of the room.	There is a green plant showing in the front near a white colored couch.
89	89	101421	validation/h/home_office/ADE_val_00001421.jpg	home_office		There are two computer monitors.	The monitors are sitting on a plain brown computer desk.	The hard drive is white and is on the floor on the right side of the picture.	The vinyl floor is white with little black squares.	There are several little speakers on the desk next next to the monitors.
90	90	7203	training/d/dining_room/ADE_train_00007203.jpg	dining_room		There is a modern look kitchen and dining area.	There is a screen on the wall.	There are cylinder type lights hanging from the ceiling.	The dining chairs are made of wicker.	There is an island in the kitchen that has marble on top.
91	91	47	training/b/bathroom/ADE_train_00000047.jpg	bathroom		People would take a shower or use the restroom here.	The walls, toilet counter and shower curtain are white.	There are folded towels above the toilet.	There is a brown towel on the tub.	The floor and cabinet are dark.
92	92	100485	validation/k/kitchen/ADE_val_00000485.jpg	kitchen		People prepare meals and eat here.	There are formal and informal eating areas.	The floors, cabinets and furniture are all medium wood.	The countertop is black.	Behind the stove is white and black.
93	93	2981	training/b/bathroom/ADE_train_00002981.jpg	bathroom		Its the bathroom vanity.	in the mirror reflection you can see some folded towels on a rack.	the walls are a beige color.	there are 5 bottles of lotion and 1 toothpaste in a glass.	the toilet paper dispenser is attached to the wooden vanity base.
94	94	10471	training/k/kitchen/ADE_train_00010471.jpg	kitchen		it is a kitchen looking over a black counter	there is a plant on the black counter	there is aside by side refrigerator on the right of stainless steel	up from that is the sink with a black and gray splash guard	all the cabinetry is a light colored wood
95	95	5478	training/c/childs_room/ADE_train_00005478.jpg	childs_room		On the wall above the bed there are two baseball players.	One player has a red helmet and is batting at a ball, the other has a blue helmet and looks to be running bases.	There's a chair on the bottom left of the image with cream upholstery and a blue grid pillow on it.	There's a white blanket hanging on the corner of the bed.	There's also a brown ceiling fan at the top of the room.
96	96	2852	training/b/bathroom/ADE_train_00002852.jpg	bathroom		bathroom	large square shower	sink on the side	little toothbrush bowl on sink	tan walls in shower
97	97	15398	training/p/playroom/ADE_train_00015398.jpg	playroom		A young child plays in a room with toys.	The walls of the room are yellow.	The floor of the room is green.	There is a small tricycle to the left of the child.	There is a purple plastic crate turned upside down in the corner of the room.
98	98	2609	training/b/bathroom/ADE_train_00002609.jpg	bathroom		it is a small bathroom	the shower has a sliding glass door	there is a pedestal sink with no counter	there is a line of tiles around the middle of the room that has a black geometric pattern	there is a window above the sink
99	99	20	training/b/bathroom/ADE_train_00000020.jpg	bathroom		This bathroom has a tub that is filled with water and rose petals.	There are candles around the bathtub that are lit.	There is a window that looks into the bedroom from the bathroom.	The walls are covered in yellow tile with accent tiles.	There are red flowers on the counter on a decorative plate.
100	100	793	training/l/living_room/ADE_train_00000793.jpg	living_room		This dean has leather furniture.	There are two couches and two chairs.	There is a tree in the corner of the room and another one against the wall.	The walls are painted tan.	There is a mirror over the fireplace.
101	101	3468	training/b/bedroom/ADE_train_00003468.jpg	bedroom		two pink day beds	four pictures hanging	green grey carpet	clock in the corner	white walls
102	102	352	training/b/bedroom/ADE_train_00000352.jpg	bedroom		A bedroom with two night stands and two lamps.	The headboard and footboard are made of wood.	The walls in the room are white.	The bed has a light blue bedspread and four pillows on it.	There are two floral paintings hanging on the wall above the bed.
103	103	7144	training/d/dining_room/ADE_train_00007144.jpg	dining_room		There is a room with yellow walls.	The floor is shiny hard wood.	There is a dining table with blue chairs.	There is a painting on the center wall.	There is a small table near the wall with a stuffed dog.
104	104	100461	validation/k/kitchen/ADE_val_00000461.jpg	kitchen		Look for a picture of a kitchen with dark brown cabinets.	There is a big breakfast bar, or island with a gray granite counter top.	There are three white bar stool like chairs with dark wood legs.	The island has a white wood base, there are also hardwood floors.	There is a very beautiful big brown and gray vase on one of the counters.
105	105	2604	training/b/bathroom/ADE_train_00002604.jpg	bathroom		This is a picture of a pink and purple bathroom.	The tub, toilet and sink are pink.	The towels, shower curtain and decorative toilet pieces are purple.	The cabinet to the right has white doors and stainless steal knobs.	The purple towels are hung on left side of the picture.
106	106	7020	training/d/dining_room/ADE_train_00007020.jpg	dining_room		This is a dining room with a large window on one wall and two smaller windows on the other wall.	The large, rectangular table is surrounded by eight wooden chairs with upholstered seats.	There is a six light chandeleir hanging over the table from a vaulted ceiling.	There is a matching buffet between the two small windows with a picture over it.	It looks out of place but there is a black knick knack cabinet aside of the large window.
107	107	101454	validation/k/kennel/indoor/ADE_val_00001454.jpg	kennel	indoor	six cages	steel cage doors	white tile	two white papers on front of cage	brown cabinet
108	108	5719	training/c/closet/ADE_train_00005719.jpg	closet		This is a picture of a very tidy closet.	Everything is folded and either white or beige to the left of the picture.	To the right ther is stuff hung.  They are light colored shirts on two levels of hanging.	There is a beige coat hung in the middle of the picture.	The lighting on the ceiling has a skylight kind of feel.
109	109	13917	training/n/nursery/ADE_train_00013917.jpg	nursery		A nursery.	With a crib.	With a red rocking horse.	That looks into a living room.	With clothes hanging on hangers on the wall.
110	110	8472	training/g/garage/indoor/ADE_train_00008472.jpg	garage	indoor	This could be a remodeled garage with the main colors being white and grey.	There are three large white cabinets and two small white cabinets.	There is a white bike hanging on the wall and a tennis racket.	The floor is a grey material.	There is a small work bench.
111	111	1892	training/a/attic/ADE_train_00001892.jpg	attic		This is a library space	There is a yellow chair in the left corner	There is a lamp that is yellow on a shelf	There is a brown rocker	There  are red pillows near the rocker
112	112	7098	training/d/dining_room/ADE_train_00007098.jpg	dining_room		The dining room has a large wood table with six chairs around it.	The chairs have white seat upholstery and the chairs on the end of the table have arms rests.	There's blue and white floral dishes/china set on the table.	There's three glowing candle sticks on the mantle of the large fireplace on the left.	There's also a decorative chandelier hanging down that looks like faux candles.
113	113	101103	validation/b/bathroom/ADE_val_00001103.jpg	bathroom		This looks like a hotel bathroom	There are several towels on racks in the center of the photo	There is a blue tag on the towel rack	You can see the shower stall through the mirror	The tissue box is in the cabinet under the sink
114	114	9590	training/h/hotel_room/ADE_train_00009590.jpg	hotel_room		there is a bed i this room with a blue plaid cover on it	on both sides of the bed there are nightstands	there is one candle on each of the nightstands and they are lit	there is a window right behind the bed	there is another window on the opposite side of the room and it has a lamp sitting in it
115	115	2685	training/b/bathroom/ADE_train_00002685.jpg	bathroom		bathroom	sink	bidet	cup on sink	white cabinet
116	116	9363	training/h/home_office/ADE_train_00009363.jpg	home_office		The picture has all natural wood paneled walls in it.	There's large black monitor and keyboard on the desk with speakers.	There's a white mouse on the desk as well that has a large red ball at the end.	There's also a grey printer on the left side with a photo of a gorilla coming out.	There's a pile of blank CD and CD cases on the corner of the desk.
117	117	10292	training/k/kitchen/ADE_train_00010292.jpg	kitchen		The kitchen cabinets are wooden	The refrigerator is white	There is a small white coffee pot on the counter	There is a shelf over the oven with jars on it	the gas range is a countertop range
118	118	101246	validation/c/childs_room/ADE_val_00001246.jpg	childs_room		Appears to be a kids bedroom	Yellow stars are on the wall	the room has 2 beds	both beds have a mickey mouse character and blue bedset	1 window  and carpet is blue
119	119	20060	training/w/wine_cellar/barrel_storage/ADE_train_00020060.jpg	wine_cellar	barrel_storage	This is a photo of barrels.	There are two rows on barrels, one on top of the other.	It looks like the room is dimly lit from under the barrels.	The wall is a shade of pink or brown with a big chunky pattern on it.	Each barrel has a little black rectangle on it.
120	120	2957	training/b/bathroom/ADE_train_00002957.jpg	bathroom		bathroom	toilet	shower	sink	mirror
121	121	20168	training/y/youth_hostel/ADE_train_00020168.jpg	youth_hostel		This is a room with two single beds.	The beds have gold striped bedding. and green headboards.	The wall behind the beds is striped.	The floor is green.	There is a suitcase on the left bed and several items on the bed on the right.
122	122	1963	training/a/attic/ADE_train_00001963.jpg	attic		It has white walls and a slanted roof.	there is a side table on the right.	The floor is blue.	There is a long window at the end of the room.	there is an overhead light.
