,pic1,pic2,jac_ind,id1,id2
139542730,25627,19097,0.442,2321486,2390714
105389010,33862,23739,0.442,2400207,2370166
188766860,24161,22284,0.442,2409444,2408208
135208279,35653,9764,0.442,2381080,2364569
255277275,36279,17146,0.44,2371343,2415731
103262140,29901,574,0.439,2377170,2327016
68339603,10119,9760,0.439,150329,1067
51874139,36922,16362,0.439,2344376,2372496
31138966,30006,13559,0.439,2374065,2354425
499417127,35656,20885,0.439,2371407,2414460
70217646,27102,7413,0.439,2335472,2334700
36467793,33169,21070,0.439,2331929,2375101
47323606,29087,9565,0.439,2337154,2363177
113028160,22998,6601,0.439,2411638,107971
119483578,22469,6143,0.439,2353172,2356441
118371360,34287,6064,0.439,2411026,2366802
75108696,31112,10466,0.439,2405488,878
353818254,2812,1040,0.438,2371046,2389736
187360526,32308,31520,0.438,2385668,2332563
179549953,14340,11044,0.438,2415426,2409248
27083511,13921,161,0.436,2359324,2346021
13475627,28705,25280,0.436,2367139,2348077
40758570,5911,4864,0.436,2383247,2407625
14440924,18946,17976,0.436,2344941,2374961
35702468,24138,3032,0.436,2352645,2410386
26699159,27879,10769,0.436,2396784,2408186
20844800,14028,9498,0.436,2356263,2354794
39215836,33316,5320,0.436,2379584,2356100
10448012,32632,2373,0.436,2355469,2347437
498174447,28872,23148,0.436,2404405,2384769
27781953,22755,6577,0.436,2371416,2365418
25278644,26617,12854,0.436,2319684,2386834
32121381,21176,2245,0.436,2368220,2392689
10945895,28793,5781,0.436,2400273,2406913
21066438,18649,4675,0.436,2356577,2321555
149942993,26852,22255,0.435,2372528,2387855
228563157,7903,5367,0.435,2386346,2380949
148000541,25139,10187,0.435,2377240,2374679
157547969,19820,16072,0.435,2397540,2357957
154800379,19896,5280,0.435,2378679,2380473
296606714,34097,31383,0.435,2402052,2388702
321097607,28609,27048,0.434,2318627,2339196
3504881,14631,2173,0.432,2322798,2327512
236888490,29391,9377,0.432,2382321,2348912
90260502,24869,16591,0.432,2339952,2395780
133971369,33770,12345,0.432,2391395,2376381
117844021,11792,634,0.432,2328133,2370594
103609835,9660,4866,0.432,2359408,2361617
81944564,19728,15144,0.432,2374181,2321970
3045588,32286,15093,0.432,2391473,2350516
192856681,30621,18735,0.432,2392851,2404895
122990796,28651,15400,0.432,2368474,2368539
90783584,31205,8864,0.432,2368628,2413196
2872579,33912,13239,0.432,2343209,2327641
202884537,33943,30755,0.432,2409337,2361913
2871869,35078,33912,0.432,2376412,2343209
2783473,23547,17259,0.432,2367214,2316389
143130012,23788,22224,0.432,2342571,2363201
99594530,18054,17587,0.432,2382880,2384952
100229398,30556,18136,0.432,2380481,2370172
4457880,13460,11284,0.432,2366035,2406537
140549508,15731,7084,0.432,2384081,2406670
3949229,16163,1219,0.432,2342531,2377888
102836171,35101,8634,0.432,2403716,2336498
100490236,29389,5827,0.432,2376497,2373510
2951522,25447,12431,0.432,2382378,713464
468393695,15644,1032,0.431,2359846,2401163
369749973,25281,18474,0.431,2376907,2376220
279756428,36869,14074,0.431,2401615,2354623
361001284,21771,509,0.429,2331231,2335670
114301601,33052,18298,0.429,2342415,2384972
372534857,12538,4577,0.429,2341533,2337757
86344276,35084,28694,0.429,2345951,2369953
107960811,25321,9458,0.429,2337244,2367979
119634344,20850,13359,0.429,2365700,2380348
269163309,11805,4185,0.429,2412000,2390139
37549406,36320,28651,0.429,2322840,2368474
81654836,28281,21324,0.429,2400840,2399716
386594424,27435,17901,0.429,2372819,2413271
56048221,33646,29895,0.429,2329622,2323140
44173234,10121,8039,0.429,2409453,2408573
84791175,24590,24497,0.429,2324661,2317025
81099473,36598,3762,0.429,2357655,2376033
85920117,10874,7632,0.429,2332987,2366060
45355282,29512,20364,0.429,2343133,2401097
62715968,35813,4661,0.429,2338679,2371104
93224041,12719,1136,0.429,2370934,2396480
386007750,16138,15440,0.426,2373909,2354249
499399801,20885,15452,0.426,2414460,2365933
371581378,6359,4487,0.426,2385854,2396481
408111348,34973,14415,0.426,2359949,2416370
195080154,29123,12559,0.426,2363913,2348592
315391750,27213,9386,0.426,2357248,2392624
555366290,35207,20711,0.426,2367772,2402206
58741501,5222,464,0.425,2386170,2364478
60802267,32805,28487,0.425,2325837,2371099
26391031,21292,16987,0.425,2366424,2345832
32302029,14938,9526,0.425,2388061,2358872
65105001,35109,2595,0.425,2354473,2417689
39216971,5320,2916,0.425,2356100,2357087
16807453,9442,7764,0.425,2410134,2385657
64934425,27104,4363,0.425,61528,2351625
42725073,26607,7747,0.425,2329311,2355448
65033825,28549,8651,0.425,2396579,2334162
58031455,27729,10985,0.425,2358835,2376190
62844327,28599,2770,0.425,2335520,2371118
41991563,8735,590,0.425,2390972,2391049
16481732,29736,20215,0.425,1592696,2334070
20354575,30584,27643,0.425,2403825,2398186
67398015,9394,6260,0.425,2390950,2408416
31745617,18674,11792,0.425,2384045,2328133
29080470,24238,22025,0.425,2376430,2378785
635491032,27999,8412,0.423,2406293,2352216
266467074,17996,11618,0.423,2369622,2404515
321150538,29969,28614,0.423,2358933,2340978
467804520,8553,6540,0.423,2350966,2401146
379040138,21501,15356,0.423,2404270,2417908
410446900,4866,972,0.423,2361617,2345277
228038679,32150,18432,0.422,2318529,2345142
84400417,19791,11867,0.422,2346094,2386314
179112535,7432,2272,0.422,2376504,2387567
185366177,23148,17448,0.422,2384769,2403978
191495188,23760,12341,0.422,2390407,2342418
211089160,21324,5239,0.422,2399716,2414568
231315997,32392,20151,0.422,2380661,2408068
103479801,11358,6410,0.422,2395664,2378969
130622615,34193,31104,0.422,2385309,2357993
206355587,24973,12785,0.422,2383325,2386498
216175004,34559,28598,0.422,2366691,2367384
143261036,16398,2069,0.422,2362616,2410673
3530370,30953,3689,0.421,2326151,2349338
7626078,22989,9530,0.421,2342858,2390796
6184896,36089,34228,0.421,1592927,1160106
6930935,32959,4012,0.421,2365500,2405033
6938001,27651,22163,0.421,2346136,2347716
7547781,31352,12204,0.421,2354922,2351006
9782874,28445,11626,0.421,2406622,2356138
6579346,17099,2577,0.421,2383624,2404946
2726431,35191,3938,0.421,2388982,2409928
7794067,33090,29177,0.421,2352181,2330674
15242970,23658,13,0.421,2350222,2319242
390910294,30262,26726,0.42,2356546,2363398
231301562,20151,7883,0.42,2408068,2392182
249228132,34971,8672,0.42,2357672,2395550
332440083,26655,3635,0.42,2351189,2413059
360290005,17858,3691,0.42,2355953,2333124
361027059,35680,21771,0.42,2370452,2331231
77703774,29521,1906,0.419,2391733,2382154
118818305,7759,6440,0.419,2391092,2354275
88546204,11558,2202,0.419,2408292,2347417
187353290,31520,18790,0.419,2332563,2318267
99264362,18860,17581,0.419,2384363,2371454
112794097,32119,20118,0.419,2326612,2344650
114826104,33906,33679,0.419,2378373,2367741
181656989,26476,25813,0.419,2381703,2407824
200266758,24112,19452,0.419,2376865,2407053
64847819,34449,32312,0.419,2360134,2352113
83996728,2242,2104,0.419,2366013,2367591
157489228,30369,5520,0.419,2363158,2377507
111385364,22184,15773,0.419,2376068,2355626
503997291,14899,14027,0.418,2343167,2381876
355061285,36612,14050,0.418,2334502,2340041
484052054,25397,21681,0.418,2383297,2345879
505147334,29770,22768,0.418,2349796,2342433
249665079,24399,1212,0.417,2349295,2327425
146755280,26368,25518,0.417,2408398,2406008
204016123,18180,8116,0.417,2405845,2389128
227686321,28566,11988,0.417,2404166,2320241
175475145,36364,12711,0.417,2377911,2399844
161006865,14870,349,0.417,2398749,2376237
399724760,32287,29276,0.417,2344017,2355055
241932327,4941,4457,0.417,2350648,2409056
451379783,31721,6296,0.417,2320561,2326179
70890802,8763,8525,0.415,2688,3190
414060529,23382,8401,0.415,2361006,2396351
341530840,19076,3515,0.415,2376445,2376642
34098272,31801,25627,0.415,2400725,2321486
90126964,16519,11090,0.415,2388332,2414911
29507295,27735,7091,0.415,2385871,2379015
96487740,32337,7494,0.415,2356056,2365292
39767495,22757,22252,0.415,2375573,2353225
30727331,18764,13571,0.415,2316852,2360767
29858770,16174,5802,0.415,2394111,2385603
23698932,11136,1191,0.415,3313,3433
23089121,13167,7786,0.415,2375574,512
41566694,23732,15117,0.415,2359646,2401772
440262077,12125,1280,0.415,2345230,2371928
460009021,24121,9539,0.415,2319817,2399708
93104208,16752,6932,0.415,2366111,2333962
34671250,34144,32613,0.415,2380395,2399785
49331125,23324,9694,0.415,2363601,2401465
66872531,9377,8088,0.415,2348912,2390325
62661248,8550,6316,0.415,2395906,2375473
35700320,35086,30040,0.415,2400800,2318407
27915597,23417,9702,0.415,2330874,2325588
350557861,17012,13828,0.415,2332117,2385323
17991944,17694,14598,0.415,1848,2374501
389256361,16226,10829,0.415,2390065,2405038
510092712,27752,21231,0.414,2351780,2316971
527408367,31430,1824,0.414,2340552,2365498
148009877,29750,25139,0.413,2395085,2377240
198308889,21070,14635,0.413,2375101,2345294
254593679,23789,9339,0.413,2373157,2344386
178207262,21475,1483,0.413,2382664,2373643
116720988,21373,5470,0.413,2413303,2378598
173120865,36046,21522,0.413,2345091,2343823
143484774,26575,24072,0.413,2376636,2393380
174448478,36149,4859,0.413,2375513,2337363
260289873,3283,2608,0.413,2377896,2408230
304663159,16778,16525,0.413,2377437,2395214
124506485,26813,13722,0.413,150381,2413391
349253856,3909,328,0.412,2397562,2402841
395516227,32527,10879,0.412,2334885,2317719
307133166,25613,11533,0.412,2400550,2400863
267521210,22074,10141,0.412,2408163,2320777
414082265,35987,23382,0.412,2371851,2361006
607188523,36183,30226,0.412,2377033,2322201
457074765,23294,19338,0.411,2361568,2404967
18216222,33891,6882,0.41,2369094,2341877
19839088,35211,28652,0.41,2328657,2380305
8420179,10376,7765,0.41,2399905,2342329
6914602,17236,10206,0.41,2399836,2406838
13607003,30083,8735,0.41,2379188,2390972
22175762,35129,13312,0.41,2396922,2383121
14711394,11284,7759,0.41,2406537,2391092
14066723,33280,8398,0.41,2364168,2349784
16923486,18052,15231,0.41,2338461,2370129
188769501,27157,24161,0.409,2403739,2409444
76182969,32613,7583,0.409,2399785,2409452
62156073,28093,24432,0.409,2351082,2347550
159006894,36586,9134,0.409,2396007,2343184
150242008,36256,21501,0.409,2377253,2404270
117068091,5650,3784,0.409,2396786,2373509
138089618,20068,18946,0.409,2365791,2344941
69061767,4363,4068,0.409,2351625,2407029
125530973,31771,13747,0.409,2346837,2405370
126633508,16220,10243,0.409,2366367,2326297
229332932,35384,10292,0.409,713137,2353547
126798409,27186,9610,0.409,2374136,2416335
127295152,35782,11425,0.409,2403296,2394617
276081552,8864,1927,0.408,2413196,2390662
268723132,21874,7428,0.408,2394506,2337034
211590784,8174,5252,0.408,2374736,2365721
275750770,32614,21638,0.408,2386112,2407211
328826707,34930,14994,0.408,2326120,2350983
309533656,12267,3189,0.408,2404361,2365478
246742787,7362,5302,0.408,2333457,2366028
192666826,30632,14220,0.408,2373839,2374707
202957152,18804,15762,0.408,2388962,2406561
232895175,17119,6931,0.408,2348879,2375752
326443017,29318,12354,0.408,2392807,2402240
166300635,17302,5897,0.408,2397403,2394473
231714856,29171,14130,0.408,2371592,2375782
49725405,26627,3247,0.405,2356889,2373651
85099889,26548,16798,0.405,2394461,2368111
80499434,35955,27685,0.405,2408624,2320935
95369722,31505,15171,0.405,460,2378883
86750482,36038,24053,0.405,2417870,2320684
95217298,27633,22300,0.405,2347827,2374534
32557455,15102,11558,0.405,2317939,2408292
114430231,18376,14687,0.405,2321476,2340379
39002269,27432,25535,0.405,2354579,2406812
504977,36039,10251,0.405,2327833,2395775
50354767,12077,4102,0.405,2350204,2377948
32005693,22425,15225,0.405,2345704,2344694
1480154,18341,11754,0.405,2336681,2377926
35945013,28050,24106,0.405,784,2373019
905415,32688,28424,0.405,2341806,2399215
291747,12431,3944,0.405,713464,2340619
30233650,27220,2459,0.405,2363309,2400622
1145627,22657,21273,0.405,2334077,2382860
67193822,21895,2562,0.405,2380313,2405922
394371,35033,9538,0.405,2370512,2319434
43923322,8374,7586,0.405,2316880,2358592
94195102,29719,10832,0.405,2405968,2317135
114350671,18308,4441,0.405,2379351,2319934
57174840,29571,8022,0.405,2317433,2366107
33797644,25316,1654,0.405,2409068,2404512
40409039,22581,7432,0.405,2377198,2376504
52808720,16987,15412,0.405,2345832,2336302
61115827,14541,14096,0.405,2398012,2383122
90388100,36888,35848,0.405,2399474,3116
50599475,26471,24637,0.405,2388351,2394757
43078691,26233,760,0.405,2356645,2354978
62167550,25191,20946,0.405,2351268,2396874
105021391,34968,20914,0.405,2404227,2404115
34099837,32576,31801,0.405,2369103,2400725
275469638,27899,18201,0.404,2379526,2400570
261146600,36821,35514,0.404,2409596,2366066
142414336,12117,5683,0.404,2355752,2317880
215843325,34863,30605,0.404,2409595,2397809
291885611,22565,19160,0.404,2392038,2375103
214806451,27887,16091,0.404,2379325,2369995
266479231,32042,315,0.404,2391535,2396609
150827809,21363,3344,0.404,2401285,2386697
112833140,20132,18208,0.404,2358505,2409538
288209250,21434,1665,0.404,3281,2373996
386205197,19690,3276,0.404,2326419,2397057
309899705,28026,11480,0.404,327,2396777
246194531,27101,16613,0.404,2387308,2344291
346494490,20761,13766,0.404,2389815,2378618
151024114,12559,6011,0.404,2348592,2326675
339287053,26248,5083,0.404,2384301,2384318
138810710,30889,12095,0.404,1592319,2394239
141266208,34652,26647,0.404,2403751,2392379
261346337,32074,25680,0.404,2411085,2381879
553034111,29372,27315,0.403,2398711,2391781
244784801,13722,4609,0.4,2413391,2318391
200076952,14482,5562,0.4,2316660,2407120
24747919,24455,12159,0.4,2387943,2388802
251433996,24187,12334,0.4,2374865,2337875
138932653,30895,29811,0.4,2392734,2400422
206189136,32374,23296,0.4,2334225,2328749
330370983,15585,8847,0.4,2343164,2384023
35943967,24106,22998,0.4,2373019,2411638
334742698,3915,1949,0.4,2376789,2387687
347254041,20626,9949,0.4,2333824,2371774
27087593,16414,13921,0.4,2361620,2359324
17103044,14598,6948,0.4,2374501,1431
12582850,24491,2944,0.4,2354475,2351366
75295713,14120,5093,0.4,2371663,2385293
16123633,29420,25865,0.4,2397474,2373739
145238900,18009,3739,0.4,2348481,2342129
173556045,20145,13749,0.4,2361455,2397466
22040232,23905,20137,0.4,2387541,2387391
221147728,26204,23102,0.4,2344026,2320536
113967813,18006,7382,0.4,2343443,2374595
347911814,21186,8702,0.4,2413110,2355324
9679615,30854,20649,0.4,2403282,2411137
12586433,28147,24491,0.4,2334017,2354475
21613619,31815,31609,0.4,2399772,944
207950331,10372,9129,0.4,2359986,2414277
35510351,12354,8554,0.4,2402240,2331170
10422524,13735,9330,0.4,2387738,2384633
19245694,33870,26587,0.4,2407094,2378274
414810465,10421,4602,0.4,2409872,2407549
13492894,8363,4308,0.4,2344776,2393062
243762669,15452,12709,0.4,2365933,2357890
86507150,30401,14550,0.4,2322525,2318437
22185007,22641,16142,0.4,2411701,2366571
37708702,35559,31721,0.4,2416127,2320561
33344528,31289,15070,0.4,2344389,2352867
18504221,17250,7922,0.4,2325286,2332983
174553493,29754,26605,0.4,2386300,2351577
32449307,30605,29038,0.4,2397809,2398689
373686919,25527,9848,0.4,2374685,2345341
91414259,16024,15204,0.4,2370691,2364898
124014479,12521,10026,0.4,2401859,2346335
460454408,32788,25898,0.4,2349926,2375436
77928318,35199,33881,0.4,2356523,2400879
35990923,20431,6100,0.4,2369231,2356746
446243549,19435,5955,0.4,2337480,2340878
101302712,22242,16719,0.4,2369349,2371173
47432792,25734,8939,0.4,2365263,2393715
506849143,34681,21464,0.4,2387149,2386609
125818328,34734,33060,0.4,2390534,2372640
503999343,16420,14899,0.397,2398241,2343167
573108592,20798,6144,0.397,2361764,2356424
407446226,24555,5012,0.397,2375674,2381931
498715491,29596,12877,0.397,2366833,2346875
422651956,28484,740,0.397,2394373,2387894
576032561,19588,9693,0.397,2349070,2392692
450922560,24258,17864,0.397,2342193,2403889
493326768,19333,6676,0.397,2352017,2368659
339849380,19981,19875,0.396,2370078,2364759
194623411,7454,4294,0.396,2417833,2333214
309554634,34075,12267,0.396,2366711,2404361
296702533,28826,19808,0.396,2320883,2365136
160225429,36337,28846,0.396,2402986,2343032
143011926,26899,21147,0.396,2386936,2349913
270564228,29850,23703,0.396,2377609,2368178
300092627,35561,20867,0.396,2343157,2385354
395638148,22576,10440,0.396,2342694,2317342
133176091,34261,11358,0.396,2351912,2395664
218545843,27546,5050,0.396,2410621,2392008
298471972,19556,14414,0.396,2348004,2350338
333317405,3134,832,0.396,2378694,2404319
372048619,19578,13809,0.396,2353274,2397264
166961394,22282,16835,0.396,2410033,2391920
444812368,5647,5605,0.396,2371194,2327587
175918593,13712,4827,0.396,2396045,2386218
339378878,9143,5054,0.396,2368187,2395603
1583706,35308,22579,0.395,2379103,2334420
3736080,18507,18337,0.395,2375494,2318101
1925903,12749,3669,0.395,2331220,2336110
1767701,24526,3365,0.395,285867,2323270
5665055,13530,12071,0.395,2322688,2342110
2118022,34577,13854,0.395,2357649,2347729
2207873,34603,9361,0.395,2379717,2350765
76026562,17208,4599,0.395,2405340,2219
2629816,23585,2291,0.395,2401690,2405477
1690201,20255,8534,0.395,2416528,2355273
98550318,15440,8606,0.395,2354249,2393200
68311623,35865,31004,0.395,2383175,61531
82002990,35406,31100,0.395,2403192,2403491
90574905,15971,10989,0.395,2384152,2397709
1573214,33379,20758,0.395,2402735,2371149
159350598,22579,15369,0.395,2334420,2333221
53043057,36471,12489,0.395,2396710,2380038
3681515,18485,1073,0.395,2387562,2368302
114532754,18403,17500,0.395,2387804,2328756
114082021,7346,3393,0.395,2355474,2397126
40809722,30347,21504,0.395,2379445,2412608
2494607,6289,1818,0.395,2405533,2383507
2922183,26587,10607,0.395,2378274,2352834
3881130,18492,17577,0.395,2384945,2369201
4408263,10769,10609,0.395,2408186,2400364
2075364,24694,21714,0.395,2408578,2375393
3060688,25857,15140,0.395,2363832,2384117
96143813,23499,15432,0.395,2358775,2378941
37486183,30390,19688,0.395,2370869,2379739
90255102,35751,24869,0.395,2321191,2339952
6374452,35713,608,0.395,2316610,2411218
5158144,13359,10248,0.395,2380348,2381768
48668022,22148,380,0.395,2350399,2413267
67834517,34378,33870,0.395,2373688,2407094
51231657,26447,23613,0.395,2330160,2356283
2079106,27190,11850,0.395,2323358,2415813
118119438,27839,20629,0.395,2397800,2403991
103590807,33425,23368,0.395,2393265,2331768
70898137,31004,8763,0.395,61531,2688
65603842,33393,1555,0.395,2365517,2360659
574124562,18591,16346,0.394,2408146,2397745
644407830,31726,3450,0.394,2367712,2336450
507651460,14323,7330,0.393,2350332,2317458
478306380,33573,22447,0.393,2393922,2404596
429386722,21908,15964,0.393,2384603,2317281
355379124,32528,24258,0.393,2416912,2342193
373185615,36298,29292,0.393,2395805,2403125
464717280,31385,12784,0.393,2356991,2373369
209436333,31474,8419,0.392,2413009,2338520
234511511,33437,10191,0.392,2347065,2366322
446931544,17233,12369,0.392,2320977,2343766
380480705,25279,14255,0.392,2375279,2357185
380956982,33732,24305,0.392,2365575,2340986
484031462,21681,1080,0.392,2345879,589
202874757,30755,16207,0.392,2361913,2378226
331870172,24575,22036,0.392,2333920,2319808
266206685,34222,9205,0.392,2351097,2363361
268429425,21663,16052,0.392,2408479,2416128
260926285,33213,25404,0.392,2411112,2412709
229620407,29263,20245,0.392,2367900,2386029
403519380,30588,6670,0.392,2377051,2317239
153331322,23596,15644,0.391,2357235,2359846
188543491,35082,23857,0.391,2347635,2380744
184838403,33403,29969,0.391,2392726,2358933
263894517,36203,1266,0.391,2372231,2366984
125634295,32691,13967,0.391,2378539,2409364
121792763,22434,12035,0.391,2411535,2398824
86135623,26864,26852,0.391,2352078,2372528
292979962,33253,2381,0.391,2367670,2414263
249374864,15549,3842,0.391,2397130,2345903
184631893,7586,5067,0.391,2358592,2345476
133050356,18869,6333,0.391,2359366,2358198
311283022,11684,2561,0.391,2330987,2334970
78904041,33510,19194,0.391,2391660,2327442
96006313,17776,16671,0.391,2335534,2378762
581546499,16542,11633,0.391,2372566,2341521
141577991,20899,11070,0.391,2386037,2347481
206751179,34122,5848,0.391,2376213,2362996
123456094,30424,17190,0.391,2317114,2350821
91328084,32007,3495,0.391,2410721,2404918
163179576,24514,17275,0.391,3613,2379984
236136364,25798,4742,0.391,2408750,2356418
166557718,13559,2999,0.391,2354425,2349509
177542724,10188,8850,0.391,2335311,2386517
108004209,25341,7908,0.391,2318987,2415674
192874618,11677,7735,0.391,2372357,2364924
71358032,27984,14089,0.391,2356912,2377104
160684163,32969,21306,0.391,2402244,2376764
610562708,15983,12164,0.391,2340678,2367872
261135366,35514,18840,0.391,2366066,2380040
156344042,33219,10407,0.391,2357588,2319447
127298033,11425,8560,0.391,2394617,2325214
69718274,20367,3473,0.39,2335019,2354652
51851311,12830,7938,0.39,2400969,2410137
16786233,14102,6657,0.39,2345480,2346411
20455757,33769,28705,0.39,2349715,2367139
18941569,23504,8005,0.39,2348212,2399078
22516138,24507,22425,0.39,2358200,2345704
35244455,20042,15456,0.39,2369803,2344445
41229874,28104,21289,0.39,713404,2398491
60809203,28487,19677,0.39,2371099,2320385
39776616,34643,23547,0.39,2399462,2367214
32664526,32460,23343,0.39,2377262,2348883
63793414,35840,35033,0.39,2363701,2370512
17444501,33893,30729,0.39,2328559,2381595
22493886,9675,1891,0.39,2346537,2401276
52928721,18438,8774,0.39,2368310,2381479
33837652,28102,10121,0.39,2379643,2409453
37215360,32216,28128,0.39,2387831,2346294
51388643,15907,2003,0.39,2372596,2376383
16310807,33211,3368,0.39,2369703,2406624
27757217,20306,10620,0.39,2356794,2396370
47607294,33748,5652,0.39,2383251,2323194
21605087,32371,21093,0.39,2362720,2382147
44792704,21741,7915,0.39,2373959,1065
47369553,15950,3559,0.39,2381698,2364408
61513789,25370,14003,0.39,2336300,2349513
21220284,23370,17100,0.39,2318233,2375717
285963015,36526,36298,0.389,2386725,2395805
407361800,6631,1305,0.389,2360167,2341942
292008660,25001,19152,0.389,2374012,2362755
472216232,36637,23415,0.389,2371920,2343015
388546613,30120,8280,0.389,2345557,2362923
342008491,19117,14263,0.389,2379808,2398471
189654023,11928,4405,0.388,2415006,2394519
172557250,17458,10180,0.388,2391087,2384534
227699619,34791,28566,0.388,2392914,2404166
177978997,26609,13704,0.388,2319113,2333035
324847565,31839,13192,0.388,2405040,713837
269171890,17706,11805,0.388,2,2412000
337837141,32877,2363,0.388,2375161,2395666
180226122,15787,2813,0.388,2328730,2345864
339375062,5054,3557,0.388,2395603,2357412
356974719,28979,21360,0.388,2400469,2405967
202886529,4961,642,0.388,2342086,2393008
241714321,8560,5147,0.388,2325214,2317204
229511459,20710,8077,0.388,2408841,2409484
