,grid1,grid2,category,action
80,6,8,similar_grid_1,hflip
81,7,9,similar_grid_1,hflip
82,8,9,similar_grid_1,vflip
83,10,11,none,add
84,10,14,none,add
85,10,20,none,inv
86,10,30,similar_grid_1,vflip
87,11,21,none,inv
88,11,31,similar_grid_1,vflip
89,11,36,similar_grid_1,hflip
90,11,37,none,add
91,12,22,none,inv
92,12,48,none,add
93,13,23,none,inv
94,13,32,similar_grid_1,vflip
95,14,24,none,inv
96,14,33,similar_grid_1,vflip
97,14,36,similar_grid_1,hflip
98,14,37,none,add
99,14,43,none,add
100,14,50,none,add
101,15,25,none,inv
102,15,38,similar_grid_1,hflip
103,15,48,none,add
104,16,26,none,inv
105,16,34,similar_grid_1,"vflip, hflip"
106,16,48,none,add
107,17,27,none,inv
108,17,39,similar_grid_1,hflip
109,17,49,none,add
110,17,50,none,add
111,18,28,none,inv
112,18,40,similar_grid_1,hflip
113,18,49,none,add
114,18,63,none,add
115,19,29,none,inv
116,19,35,similar_grid_1,"vflip, hflip"
117,19,49,none,add
118,30,41,none,add
119,33,43,none,inv
120,33,50,none,add
121,34,48,none,add
122,34,49,none,add
123,35,49,none,add
124,37,43,none,add
125,37,50,none,add
126,38,48,none,add
127,39,47,none,add
128,39,50,none,add
129,40,47,none,add
130,41,51,none,inv
131,42,44,none,inv
132,42,45,none,add
133,42,46,none,add
134,42,61,none,add
135,42,62,none,add
136,43,50,none,add
137,43,51,none,add
138,43,53,none,inv
139,44,48,none,add
140,44,49,none,add
141,44,55,none,add
142,44,56,none,add
143,45,46,similar_grid_1,turn
144,45,55,none,inv
145,45,61,similar_grid_1,turn
146,45,62,similar_grid_1,turn
147,46,56,none,inv
148,46,61,similar_grid_1,turn
149,46,62,similar_grid_1,turn
150,47,57,none,inv
151,47,58,none,add
152,47,63,similar_grid_1,hflip
153,48,49,similar_grid_1,turn
154,48,51,none,add
155,48,55,none,add
156,48,56,none,add
157,48,57,none,add
158,48,58,none,inv
159,48,59,none,add
160,48,60,none,add
161,49,55,none,add
162,49,59,none,inv
163,49,56,none,add
164,49,58,none,add
165,50,51,none,add
166,50,58,none,add
167,50,60,none,inv
168,55,56,similar_grid_1,turn
169,58,59,similar_grid_1,turn
170,58,61,none,add
171,58,62,none,add
172,58,63,none,add
173,59,61,none,add
174,59,61,none,add
175,61,62,similar_grid_1,turn
176,63,25,different_grid,none
177,29,32,different_grid,none
178,48,45,different_grid,none
179,40,41,different_grid,none
180,6,48,different_grid,none
181,41,42,different_grid,none
182,33,38,different_grid,none
183,25,34,different_grid,none
184,44,47,different_grid,none
185,2,50,different_grid,none
186,59,32,different_grid,none
187,36,48,different_grid,none
188,55,61,different_grid,none
189,5,60,different_grid,none
190,30,4,different_grid,none
191,63,38,different_grid,none
192,29,45,different_grid,none
193,21,41,different_grid,none
194,6,61,different_grid,none
195,22,5,different_grid,none
196,14,1,different_grid,none
197,25,47,different_grid,none
198,32,55,different_grid,none
199,35,60,different_grid,none
200,15,2,different_grid,none
201,26,11,different_grid,none
202,18,7,different_grid,none
203,59,45,different_grid,none
204,17,48,different_grid,none
205,36,61,different_grid,none
206,9,44,different_grid,none
207,28,57,different_grid,none
208,60,9,different_grid,none
209,11,4,different_grid,none
210,44,1,different_grid,none
211,10,8,different_grid,none
212,62,55,different_grid,none
213,53,6,different_grid,none
214,45,2,different_grid,none
215,56,11,different_grid,none
216,22,18,different_grid,none
217,13,55,different_grid,none
218,16,60,different_grid,none
219,7,11,different_grid,none
220,48,12,different_grid,none
221,40,8,different_grid,none
222,17,61,different_grid,none
223,9,57,different_grid,none
224,41,9,different_grid,none
225,60,22,different_grid,none
226,33,5,different_grid,none
227,25,1,different_grid,none
228,44,14,different_grid,none
229,10,21,different_grid,none
230,2,17,different_grid,none
231,34,6,different_grid,none
232,4,63,different_grid,none
233,37,11,different_grid,none
234,3,18,different_grid,none
235,36,15,different_grid,none
236,55,28,different_grid,none
237,47,24,different_grid,none
238,5,27,different_grid,none
239,63,5,different_grid,none
240,29,12,different_grid,none
241,48,25,different_grid,none
242,21,8,different_grid,none
243,40,21,different_grid,none
244,6,28,different_grid,none
245,33,18,different_grid,none
246,25,14,different_grid,none
247,32,22,different_grid,none
248,51,35,different_grid,none
249,2,30,different_grid,none
250,43,31,different_grid,none
251,35,27,different_grid,none
252,1,34,different_grid,none
253,59,12,different_grid,none
254,17,15,different_grid,none
255,36,28,different_grid,none
256,9,11,different_grid,none
257,55,41,different_grid,none
258,28,24,different_grid,none
259,47,37,different_grid,none
260,5,40,different_grid,none
261,63,18,different_grid,none
262,29,25,different_grid,none
263,62,22,different_grid,none
264,39,38,different_grid,none
265,31,34,different_grid,none
266,13,22,different_grid,none
267,32,35,different_grid,none
268,51,48,different_grid,none
269,24,31,different_grid,none
270,43,44,different_grid,none
271,16,27,different_grid,none
272,35,40,different_grid,none
273,1,47,different_grid,none
274,59,25,different_grid,none
275,17,28,different_grid,none
276,58,29,different_grid,none
277,9,24,different_grid,none
278,28,37,different_grid,none
279,61,34,different_grid,none
280,27,41,different_grid,none
281,30,46,different_grid,none
282,62,35,different_grid,none
283,20,38,different_grid,none
284,39,51,different_grid,none
285,12,34,different_grid,none
286,31,47,different_grid,none
287,4,30,different_grid,none
288,23,43,different_grid,none
289,13,35,different_grid,none
290,24,44,different_grid,none
291,16,40,different_grid,none
292,57,41,different_grid,none
293,26,53,different_grid,none
294,58,42,different_grid,none
295,50,38,different_grid,none
296,42,34,different_grid,none
297,61,47,different_grid,none
298,8,41,different_grid,none
299,0,37,different_grid,none
300,19,50,different_grid,none
301,11,46,different_grid,none
302,30,59,different_grid,none
303,51,2,different_grid,none
304,20,51,different_grid,none
305,12,47,different_grid,none
306,53,48,different_grid,none
307,4,43,different_grid,none
308,23,56,different_grid,none
309,56,53,different_grid,none
310,22,60,different_grid,none
311,55,8,different_grid,none
312,47,4,different_grid,none
313,5,7,different_grid,none
314,46,45,different_grid,none
315,38,41,different_grid,none
316,49,50,different_grid,none
317,15,57,different_grid,none
318,7,53,different_grid,none
319,18,62,different_grid,none
320,39,5,different_grid,none
321,31,1,different_grid,none
322,42,47,different_grid,none
323,0,50,different_grid,none
324,19,63,different_grid,none
325,11,59,different_grid,none
326,32,2,different_grid,none
327,51,15,different_grid,none
328,43,11,different_grid,none
329,35,7,different_grid,none
330,1,14,different_grid,none
331,53,61,different_grid,none
332,45,57,different_grid,none
333,37,53,different_grid,none
334,3,60,different_grid,none
335,28,4,different_grid,none
336,61,1,different_grid,none
337,46,58,different_grid,none
338,49,63,different_grid,none
339,62,2,different_grid,none
340,20,5,different_grid,none
341,39,18,different_grid,none
342,12,1,different_grid,none
343,31,14,different_grid,none
344,23,10,different_grid,none
345,33,60,different_grid,none
346,13,2,different_grid,none
347,25,56,different_grid,none
348,24,11,different_grid,none
349,16,7,different_grid,none
350,57,8,different_grid,none
351,34,61,different_grid,none
352,58,9,different_grid,none
353,50,5,different_grid,none
354,42,1,different_grid,none
355,61,14,different_grid,none
356,27,21,different_grid,none
357,19,17,different_grid,none
358,11,13,different_grid,none
359,30,26,different_grid,none
360,63,60,different_grid,none
361,21,63,different_grid,none
362,20,18,different_grid,none
363,12,14,different_grid,none
364,53,15,different_grid,none
365,4,10,different_grid,none
366,46,12,different_grid,none
367,38,8,different_grid,none
368,57,21,different_grid,none
369,49,17,different_grid,none
370,15,24,different_grid,none
371,7,20,different_grid,none
372,26,33,different_grid,none
373,18,29,different_grid,none
374,50,18,different_grid,none
375,42,14,different_grid,none
376,8,21,different_grid,none
377,0,17,different_grid,none
378,19,30,different_grid,none
379,60,31,different_grid,none
380,11,26,different_grid,none
381,34,15,different_grid,none
382,53,28,different_grid,none
383,45,24,different_grid,none
384,37,20,different_grid,none
385,56,33,different_grid,none
386,3,27,different_grid,none
387,22,40,different_grid,none
388,46,25,different_grid,none
389,38,21,different_grid,none
390,49,30,different_grid,none
391,15,37,different_grid,none
392,7,33,different_grid,none
393,26,46,different_grid,none
394,18,42,different_grid,none
395,41,31,different_grid,none
396,60,44,different_grid,none
397,33,27,different_grid,none
398,25,23,different_grid,none
399,44,36,different_grid,none
400,10,43,different_grid,none
401,2,39,different_grid,none
402,34,28,different_grid,none
403,45,37,different_grid,none
404,37,33,different_grid,none
405,3,40,different_grid,none
406,22,53,different_grid,none
407,14,49,different_grid,none
408,55,50,different_grid,none
409,63,27,different_grid,none
410,29,34,different_grid,none
411,48,47,different_grid,none
412,40,43,different_grid,none
413,6,50,different_grid,none
414,41,44,different_grid,none
415,33,40,different_grid,none
416,25,36,different_grid,none
417,10,56,different_grid,none
418,51,57,different_grid,none
419,26,0,different_grid,none
420,59,34,different_grid,none
421,36,50,different_grid,none
422,55,63,different_grid,none
423,28,46,different_grid,none
424,47,59,different_grid,none
425,27,1,different_grid,none
426,5,62,different_grid,none
427,30,6,different_grid,none
428,63,40,different_grid,none
429,29,47,different_grid,none
430,21,43,different_grid,none
431,40,56,different_grid,none
432,6,63,different_grid,none
433,56,0,different_grid,none
434,22,7,different_grid,none
435,14,3,different_grid,none
436,32,57,different_grid,none
437,24,53,different_grid,none
438,57,1,different_grid,none
439,35,62,different_grid,none
440,15,4,different_grid,none
441,7,0,different_grid,none
442,26,13,different_grid,none
443,18,9,different_grid,none
444,59,47,different_grid,none
445,36,63,different_grid,none
446,9,46,different_grid,none
447,28,59,different_grid,none
448,60,11,different_grid,none
449,44,3,different_grid,none
450,2,6,different_grid,none
451,62,57,different_grid,none
452,20,60,different_grid,none
453,53,8,different_grid,none
454,45,4,different_grid,none
455,37,0,different_grid,none
456,56,13,different_grid,none
457,3,7,different_grid,none
458,22,20,different_grid,none
459,14,16,different_grid,none
460,55,17,different_grid,none
461,13,57,different_grid,none
462,16,62,different_grid,none
463,29,1,different_grid,none
464,48,14,different_grid,none
465,40,10,different_grid,none
466,6,17,different_grid,none
467,9,59,different_grid,none
468,41,11,different_grid,none
469,33,7,different_grid,none
470,25,3,different_grid,none
471,44,16,different_grid,none
472,10,23,different_grid,none
473,51,24,different_grid,none
474,2,19,different_grid,none
475,59,1,different_grid,none
476,36,17,different_grid,none
477,55,30,different_grid,none
478,28,13,different_grid,none
479,47,26,different_grid,none
480,5,29,different_grid,none
481,63,7,different_grid,none
482,29,14,different_grid,none
483,48,27,different_grid,none
484,21,10,different_grid,none
485,40,23,different_grid,none
486,6,30,different_grid,none
487,25,16,different_grid,none
488,32,24,different_grid,none
489,51,37,different_grid,none
490,24,20,different_grid,none
491,43,33,different_grid,none
492,35,29,different_grid,none
493,1,36,different_grid,none
494,59,14,different_grid,none
495,36,30,different_grid,none
496,9,13,different_grid,none
497,28,26,different_grid,none
498,47,39,different_grid,none
499,5,42,different_grid,none
500,21,23,different_grid,none
501,62,24,different_grid,none
502,20,27,different_grid,none
503,39,40,different_grid,none
504,31,36,different_grid,none
505,23,32,different_grid,none
506,13,24,different_grid,none
507,32,37,different_grid,none
508,24,33,different_grid,none
509,43,46,different_grid,none
510,16,29,different_grid,none
511,35,42,different_grid,none
512,1,49,different_grid,none
513,17,30,different_grid,none
514,58,31,different_grid,none
515,9,26,different_grid,none
516,50,27,different_grid,none
517,61,36,different_grid,none
518,27,43,different_grid,none
519,19,39,different_grid,none
520,30,48,different_grid,none
521,62,37,different_grid,none
522,20,40,different_grid,none
523,39,53,different_grid,none
524,12,36,different_grid,none
525,31,49,different_grid,none
526,4,32,different_grid,none
527,23,45,different_grid,none
528,13,37,different_grid,none
529,46,34,different_grid,none
530,16,42,different_grid,none
531,57,43,different_grid,none
532,49,39,different_grid,none
533,15,46,different_grid,none
534,26,55,different_grid,none
535,18,51,different_grid,none
536,58,44,different_grid,none
537,50,40,different_grid,none
538,42,36,different_grid,none
539,61,49,different_grid,none
540,8,43,different_grid,none
541,27,56,different_grid,none
542,0,39,different_grid,none
543,11,48,different_grid,none
544,30,61,different_grid,none
545,51,4,different_grid,none
546,43,0,different_grid,none
547,12,49,different_grid,none
548,53,50,different_grid,none
549,4,45,different_grid,none
550,56,55,different_grid,none
551,22,62,different_grid,none
552,14,58,different_grid,none
553,47,6,different_grid,none
554,5,9,different_grid,none
555,46,47,different_grid,none
556,38,43,different_grid,none
557,57,56,different_grid,none
558,15,59,different_grid,none
559,7,55,different_grid,none
560,39,7,different_grid,none
561,31,3,different_grid,none
562,42,49,different_grid,none
563,8,56,different_grid,none
564,41,53,different_grid,none
565,11,61,different_grid,none
566,32,4,different_grid,none
567,44,58,different_grid,none
568,24,0,different_grid,none
569,43,13,different_grid,none
570,35,9,different_grid,none
571,34,50,different_grid,none
572,53,63,different_grid,none
573,45,59,different_grid,none
574,37,55,different_grid,none
575,3,62,different_grid,none
576,61,3,different_grid,none
577,27,10,different_grid,none
578,38,56,different_grid,none
579,30,15,different_grid,none
580,62,4,different_grid,none
581,20,7,different_grid,none
582,39,20,different_grid,none
583,12,3,different_grid,none
584,31,16,different_grid,none
585,23,12,different_grid,none
586,33,62,different_grid,none
587,13,4,different_grid,none
588,25,58,different_grid,none
589,46,1,different_grid,none
590,16,9,different_grid,none
591,57,10,different_grid,none
592,49,6,different_grid,none
593,34,63,different_grid,none
594,26,22,different_grid,none
595,58,11,different_grid,none
596,50,7,different_grid,none
597,42,3,different_grid,none
598,61,16,different_grid,none
599,8,10,different_grid,none
600,27,23,different_grid,none
601,0,6,different_grid,none
602,11,15,different_grid,none
603,30,28,different_grid,none
604,63,62,different_grid,none
605,12,16,different_grid,none
606,53,17,different_grid,none
607,4,12,different_grid,none
608,56,22,different_grid,none
609,22,29,different_grid,none
610,46,14,different_grid,none
611,38,10,different_grid,none
612,57,23,different_grid,none
613,49,19,different_grid,none
614,15,26,different_grid,none
615,7,22,different_grid,none
616,26,35,different_grid,none
617,18,31,different_grid,none
618,42,16,different_grid,none
619,8,23,different_grid,none
620,60,33,different_grid,none
621,11,28,different_grid,none
622,34,17,different_grid,none
623,53,30,different_grid,none
624,45,26,different_grid,none
625,37,22,different_grid,none
626,56,35,different_grid,none
627,3,29,different_grid,none
628,22,42,different_grid,none
629,14,38,different_grid,none
630,38,23,different_grid,none
631,15,39,different_grid,none
632,7,35,different_grid,none
633,48,36,different_grid,none
634,18,44,different_grid,none
635,41,33,different_grid,none
636,60,46,different_grid,none
637,33,29,different_grid,none
638,44,38,different_grid,none
639,10,45,different_grid,none
640,2,41,different_grid,none
641,34,30,different_grid,none
642,37,35,different_grid,none
643,3,42,different_grid,none
644,14,51,different_grid,none
645,47,48,different_grid,none
646,63,29,different_grid,none
647,29,36,different_grid,none
648,21,32,different_grid,none
649,40,45,different_grid,none
650,33,42,different_grid,none
651,25,38,different_grid,none
652,44,51,different_grid,none
653,10,58,different_grid,none
654,51,59,different_grid,none
655,43,55,different_grid,none
656,26,2,different_grid,none
657,59,36,different_grid,none
658,28,48,different_grid,none
659,47,61,different_grid,none
660,60,0,different_grid,none
661,63,42,different_grid,none
662,29,49,different_grid,none
663,21,45,different_grid,none
664,40,58,different_grid,none
665,39,62,different_grid,none
666,56,2,different_grid,none
667,22,9,different_grid,none
668,14,5,different_grid,none
669,13,46,different_grid,none
670,32,59,different_grid,none
671,24,55,different_grid,none
672,16,51,different_grid,none
673,15,6,different_grid,none
674,7,2,different_grid,none
675,48,3,different_grid,none
676,18,11,different_grid,none
677,59,49,different_grid,none
678,9,48,different_grid,none
679,28,61,different_grid,none
680,41,0,different_grid,none
681,60,13,different_grid,none
682,44,5,different_grid,none
683,10,12,different_grid,none
684,2,8,different_grid,none
685,62,59,different_grid,none
686,20,62,different_grid,none
687,12,58,different_grid,none
688,45,6,different_grid,none
689,37,2,different_grid,none
690,3,9,different_grid,none
691,14,18,different_grid,none
692,55,19,different_grid,none
693,47,15,different_grid,none
694,13,59,different_grid,none
695,29,3,different_grid,none
696,48,16,different_grid,none
697,40,12,different_grid,none
698,6,19,different_grid,none
699,9,61,different_grid,none
700,50,62,different_grid,none
701,42,58,different_grid,none
702,41,13,different_grid,none
703,33,9,different_grid,none
704,25,5,different_grid,none
705,44,18,different_grid,none
706,10,25,different_grid,none
707,51,26,different_grid,none
708,2,21,different_grid,none
709,43,22,different_grid,none
710,59,3,different_grid,none
711,17,6,different_grid,none
712,36,19,different_grid,none
713,55,32,different_grid,none
714,28,15,different_grid,none
715,47,28,different_grid,none
716,5,31,different_grid,none
717,63,9,different_grid,none
718,29,16,different_grid,none
719,21,12,different_grid,none
720,40,25,different_grid,none
721,6,32,different_grid,none
722,39,29,different_grid,none
723,32,26,different_grid,none
724,51,39,different_grid,none
725,24,22,different_grid,none
726,43,35,different_grid,none
727,16,18,different_grid,none
728,35,31,different_grid,none
729,1,38,different_grid,none
730,59,16,different_grid,none
731,17,19,different_grid,none
732,36,32,different_grid,none
733,9,15,different_grid,none
734,5,44,different_grid,none
735,62,26,different_grid,none
736,20,29,different_grid,none
737,39,42,different_grid,none
738,12,25,different_grid,none
739,31,38,different_grid,none
740,23,34,different_grid,none
741,13,26,different_grid,none
742,32,39,different_grid,none
743,24,35,different_grid,none
744,16,31,different_grid,none
745,35,44,different_grid,none
746,1,51,different_grid,none
747,58,33,different_grid,none
748,9,28,different_grid,none
749,50,29,different_grid,none
750,42,25,different_grid,none
751,61,38,different_grid,none
752,8,32,different_grid,none
753,27,45,different_grid,none
754,19,41,different_grid,none
755,30,50,different_grid,none
756,62,39,different_grid,none
757,20,42,different_grid,none
758,12,38,different_grid,none
759,31,51,different_grid,none
760,4,34,different_grid,none
761,23,47,different_grid,none
762,46,36,different_grid,none
763,38,32,different_grid,none
764,57,45,different_grid,none
765,49,41,different_grid,none
766,7,44,different_grid,none
767,26,57,different_grid,none
768,18,53,different_grid,none
769,58,46,different_grid,none
770,50,42,different_grid,none
771,42,38,different_grid,none
772,61,51,different_grid,none
773,8,45,different_grid,none
774,27,58,different_grid,none
775,0,41,different_grid,none
776,60,55,different_grid,none
777,11,50,different_grid,none
778,30,63,different_grid,none
779,51,6,different_grid,none
780,43,2,different_grid,none
781,1,5,different_grid,none
782,34,39,different_grid,none
783,4,47,different_grid,none
784,45,48,different_grid,none
785,37,44,different_grid,none
786,56,57,different_grid,none
787,3,51,different_grid,none
788,14,60,different_grid,none
789,5,11,different_grid,none
790,46,49,different_grid,none
791,38,45,different_grid,none
792,57,58,different_grid,none
793,15,61,different_grid,none
794,7,57,different_grid,none
795,39,9,different_grid,none
796,31,5,different_grid,none
797,23,1,different_grid,none
798,41,55,different_grid,none
799,33,51,different_grid,none
800,32,6,different_grid,none
801,44,60,different_grid,none
802,24,2,different_grid,none
803,2,63,different_grid,none
804,35,11,different_grid,none
805,1,18,different_grid,none
806,37,57,different_grid,none
807,58,0,different_grid,none
808,61,5,different_grid,none
809,27,12,different_grid,none
810,19,8,different_grid,none
811,30,17,different_grid,none
812,63,51,different_grid,none
813,29,58,different_grid,none
814,62,6,different_grid,none
815,20,9,different_grid,none
816,39,22,different_grid,none
817,12,5,different_grid,none
818,31,18,different_grid,none
819,4,1,different_grid,none
820,23,14,different_grid,none
821,25,60,different_grid,none
822,46,3,different_grid,none
823,57,12,different_grid,none
824,49,8,different_grid,none
825,26,24,different_grid,none
826,18,20,different_grid,none
827,59,58,different_grid,none
828,58,13,different_grid,none
829,50,9,different_grid,none
830,42,5,different_grid,none
831,61,18,different_grid,none
832,8,12,different_grid,none
833,27,25,different_grid,none
834,19,21,different_grid,none
835,11,17,different_grid,none
836,53,19,different_grid,none
837,4,14,different_grid,none
838,45,15,different_grid,none
839,56,24,different_grid,none
840,22,31,different_grid,none
841,14,27,different_grid,none
842,46,16,different_grid,none
843,38,12,different_grid,none
844,57,25,different_grid,none
845,49,21,different_grid,none
846,15,28,different_grid,none
847,7,24,different_grid,none
848,26,37,different_grid,none
849,18,33,different_grid,none
850,0,21,different_grid,none
851,41,22,different_grid,none
852,60,35,different_grid,none
853,11,30,different_grid,none
854,44,27,different_grid,none
855,10,34,different_grid,none
856,34,19,different_grid,none
857,53,32,different_grid,none
858,45,28,different_grid,none
859,37,24,different_grid,none
860,56,37,different_grid,none
861,3,31,different_grid,none
862,22,44,different_grid,none
863,14,40,different_grid,none
864,7,37,different_grid,none
865,48,38,different_grid,none
866,40,34,different_grid,none
867,6,41,different_grid,none
868,41,35,different_grid,none
869,60,48,different_grid,none
870,33,31,different_grid,none
871,25,27,different_grid,none
872,44,40,different_grid,none
873,10,47,different_grid,none
874,2,43,different_grid,none
875,3,44,different_grid,none
876,36,41,different_grid,none
877,47,50,different_grid,none
878,5,53,different_grid,none
879,63,31,different_grid,none
880,29,38,different_grid,none
881,21,34,different_grid,none
882,33,44,different_grid,none
883,25,40,different_grid,none
884,32,48,different_grid,none
885,51,61,different_grid,none
886,2,56,different_grid,none
887,43,57,different_grid,none
888,35,53,different_grid,none
889,1,60,different_grid,none
890,26,4,different_grid,none
891,18,0,different_grid,none
892,59,38,different_grid,none
893,17,41,different_grid,none
894,9,37,different_grid,none
895,28,50,different_grid,none
896,60,2,different_grid,none
897,10,1,different_grid,none
898,29,51,different_grid,none
899,21,47,different_grid,none
900,62,48,different_grid,none
901,31,60,different_grid,none
902,56,4,different_grid,none
903,22,11,different_grid,none
904,14,7,different_grid,none
905,13,48,different_grid,none
906,32,61,different_grid,none
907,24,57,different_grid,none
908,16,53,different_grid,none
909,7,4,different_grid,none
910,48,5,different_grid,none
911,40,1,different_grid,none
912,58,55,different_grid,none
913,9,50,different_grid,none
914,28,63,different_grid,none
915,61,60,different_grid,none
916,41,2,different_grid,none
917,60,15,different_grid,none
918,44,7,different_grid,none
919,2,10,different_grid,none
920,62,61,different_grid,none
921,12,60,different_grid,none
922,4,56,different_grid,none
923,37,4,different_grid,none
924,3,11,different_grid,none
925,36,8,different_grid,none
926,55,21,different_grid,none
927,47,17,different_grid,none
928,13,61,different_grid,none
929,5,20,different_grid,none
930,29,5,different_grid,none
931,48,18,different_grid,none
932,21,1,different_grid,none
933,40,14,different_grid,none
934,6,21,different_grid,none
935,42,60,different_grid,none
936,0,63,different_grid,none
937,33,11,different_grid,none
938,25,7,different_grid,none
939,32,15,different_grid,none
940,51,28,different_grid,none
941,2,23,different_grid,none
942,43,24,different_grid,none
943,35,20,different_grid,none
944,1,27,different_grid,none
945,59,5,different_grid,none
946,17,8,different_grid,none
947,36,21,different_grid,none
948,9,4,different_grid,none
949,55,34,different_grid,none
950,28,17,different_grid,none
951,47,30,different_grid,none
952,5,33,different_grid,none
953,63,11,different_grid,none
954,29,18,different_grid,none
955,21,14,different_grid,none
956,62,15,different_grid,none
957,39,31,different_grid,none
958,31,27,different_grid,none
959,13,15,different_grid,none
960,32,28,different_grid,none
961,51,41,different_grid,none
962,43,37,different_grid,none
963,16,20,different_grid,none
964,35,33,different_grid,none
965,1,40,different_grid,none
966,59,18,different_grid,none
967,17,21,different_grid,none
968,58,22,different_grid,none
969,9,17,different_grid,none
970,28,30,different_grid,none
971,61,27,different_grid,none
972,27,34,different_grid,none
973,30,39,different_grid,none
974,62,28,different_grid,none
975,20,31,different_grid,none
976,39,44,different_grid,none
977,12,27,different_grid,none
978,31,40,different_grid,none
979,4,23,different_grid,none
980,23,36,different_grid,none
981,13,28,different_grid,none
982,24,37,different_grid,none
983,16,33,different_grid,none
984,57,34,different_grid,none
985,58,35,different_grid,none
986,50,31,different_grid,none
987,42,27,different_grid,none
988,61,40,different_grid,none
989,8,34,different_grid,none
990,27,47,different_grid,none
991,0,30,different_grid,none
992,19,43,different_grid,none
993,11,39,different_grid,none
994,20,44,different_grid,none
995,12,40,different_grid,none
996,53,41,different_grid,none
997,4,36,different_grid,none
998,23,49,different_grid,none
999,56,46,different_grid,none
1000,55,1,different_grid,none
1001,5,0,different_grid,none
1002,46,38,different_grid,none
1003,38,34,different_grid,none
1004,57,47,different_grid,none
1005,49,43,different_grid,none
1006,15,50,different_grid,none
1007,7,46,different_grid,none
1008,26,59,different_grid,none
1009,6,1,different_grid,none
1010,18,55,different_grid,none
1011,50,44,different_grid,none
1012,42,40,different_grid,none
1013,8,47,different_grid,none
1014,0,43,different_grid,none
1015,19,56,different_grid,none
1016,60,57,different_grid,none
1017,51,8,different_grid,none
1018,43,4,different_grid,none
1019,35,0,different_grid,none
1020,1,7,different_grid,none
1021,34,41,different_grid,none
1022,45,50,different_grid,none
1023,37,46,different_grid,none
1024,56,59,different_grid,none
1025,3,53,different_grid,none
1026,14,62,different_grid,none
1027,5,13,different_grid,none
1028,46,51,different_grid,none
1029,38,47,different_grid,none
1030,15,63,different_grid,none
1031,7,59,different_grid,none
1032,39,11,different_grid,none
1033,31,7,different_grid,none
1034,23,3,different_grid,none
1035,41,57,different_grid,none
1036,33,53,different_grid,none
1037,25,49,different_grid,none
1038,44,62,different_grid,none
1039,24,4,different_grid,none
1040,16,0,different_grid,none
1041,35,13,different_grid,none
1042,1,20,different_grid,none
1043,45,63,different_grid,none
1044,37,59,different_grid,none
1045,58,2,different_grid,none
1046,61,7,different_grid,none
1047,8,1,different_grid,none
1048,27,14,different_grid,none
1049,19,10,different_grid,none
1050,11,6,different_grid,none
1051,30,19,different_grid,none
1052,63,53,different_grid,none
1053,29,60,different_grid,none
1054,21,56,different_grid,none
1055,20,11,different_grid,none
1056,12,7,different_grid,none
1057,31,20,different_grid,none
1058,4,3,different_grid,none
1059,23,16,different_grid,none
1060,25,62,different_grid,none
1061,46,5,different_grid,none
1062,38,1,different_grid,none
1063,57,14,different_grid,none
1064,49,10,different_grid,none
1065,15,17,different_grid,none
1066,7,13,different_grid,none
1067,18,22,different_grid,none
1068,59,60,different_grid,none
1069,17,63,different_grid,none
1070,50,11,different_grid,none
1071,42,7,different_grid,none
1072,8,14,different_grid,none
1073,0,10,different_grid,none
1074,19,23,different_grid,none
